Rank,Name,TA Rating,Review Count,Travelers Choice 2025,TA URL,Website,Phone,Email,Owner / Contact Name,LinkedIn URL,Instagram Handle,Instagram Followers,Facebook URL,Languages Served,Tour Type,Price From (EUR),Year Founded,Booking Platforms,Owner Responds to Reviews,Latest Review Date,Enrichment Status,Notes
18,Amsterdam in WWII Walking Tour,5,1197,Yes,https://www.tripadvisor.com/Attraction_Review-g188590-d10209999,historywalks.eu,,info@historywalks.eu,,,@sidewalks.amsterdam,2200,,"Spanish, English",Free Walking / Private,20,2010,"Own site, Viator",Yes,Mar 2026,Fully Enriched,Spanish-focused free & private tours; IG 2.2K; 345 posts
19,SideWalks,5,1114,Yes,https://www.tripadvisor.com/Attraction_Review-g188590-d10209999,,,,,,,,,English,Walking,0,,Own site,Yes,Mar 2026,Partially Enriched,Website cityfreetour.com; no Instagram found; free walking tours
20,City Free Tour Amsterdam,4.5,869,Yes,https://www.tripadvisor.com/Attraction_Review-g188590-d3170878,cityfreetour.com,+31 6 19 29 6774,hello@hungrybirds.nl,,,@hungrybirdsamsterdam,2601,facebook.com/hungrybirdsamsterdam,"English, Spanish",Free Walking,0,2013,Own site,Yes,Mar 2026,Fully Enriched,"Oldest food tour Amsterdam (10+ years); IG 2,601; phone +31619296774"
21,Hungry Birds Street Food Tours,5,1401,Yes,https://www.tripadvisor.com/Attraction_Review-g188590-d4480916,hungrybirds.nl,,info@hungrybirds.nl,,,,,,English,Group Food Walking,49,2014,"Own site, GetYourGuide",Yes,Mar 2026,Partially Enriched,Website not yet visited
22,K7 Travel,4.5,1428,Yes,https://www.tripadvisor.com/Attraction_Review-g188590-d10506234,,+31641176032,,,,@AmsterdamVelo,7018,facebook.com/AmsterdamVelo,"English, Multiple",Multi-day Tours,0,,,Yes,Mar 2026,Fully Enriched,"Bike tours + rental; French & English guides; IG 7,018; phone +31641176032"
23,Amsterdam Velo,4.5,1274,Yes,https://www.tripadvisor.com/Attraction_Review-g188590-d3695549,amsterdam-velo.com,,info@amsterdam-velo.com,,,@yellowbiketours_amsterdam,570,,"English, Dutch, French",Bike Tours & Rental,29,1990,Own site,Yes,Mar 2026,Fully Enriched,First bike tour company in world (1990!); family business; IG 570; from €29
24,Yellow Bike,4,950,No,https://www.tripadvisor.com/Attraction_Review-g188590-d1151489,triggertours.com,+31 20 620 6940,info@yellowbike.nl,,,@triggertours,190,,"English, Dutch",Bike Tours & Rental,22.5,1990,Own site,No,Mar 2026,Partially Enriched,Multiple tour types (food/bike/history); IG 190; website triggertours.com
25,Trigger Tours,4.5,870,Yes,https://www.tripadvisor.com/Attraction_Review-g188590-d8891041,,,,,,,,,English,Walking / Experiences,0,,,Yes,Mar 2026,EXCLUDE - Boat Tour,Canal cruise operator - should be excluded (boat tour)
26,Toms Travel Tours,4.5,693,Yes,,joyridetours.nl,,,,,@amsterdambiketours,302,,English,Private Tours,0,,,Yes,Mar 2026,Partially Enriched,Bike tours; IG @amsterdambiketours 302 followers; website joyridetours.nl
27,Joy Ride Tours,4.5,678,Yes,,,,,,,,,,English,Bike Tours,0,,,Yes,Mar 2026,Not Started,Not yet enriched
28,Dutchtrips.com,4.5,464,Yes,,dutchtrips.com,,,,,,,,"English, Dutch",Day Trips / Tours,0,,,Yes,Mar 2026,Not Started,Not yet enriched
29,Cherry Travel & Tours,4.5,474,Yes,,amorartium.com,,,,,@amorartium_,,,English,Art / Museum Walking Tour,0,,,Yes,Mar 2026,Partially Enriched,Art history tours; IG @amorartium_; website amorartium.com
30,Amor Artium,5,500,Yes,,amsterdamclassictours.com,+31626250090,,,,@amsterdam_classic_tours,,,"English, Dutch",Art / Museum Tours,90,,,Yes,Mar 2026,Partially Enriched,Free walking + paid tours; phone +31626250090; website amsterdamclassictours.com
31,Free Amsterdam Classic Tours,5,437,Yes,,,,,,,,,,English,Free Walking,0,,,Yes,Mar 2026,Not Started,Not yet enriched
32,Amsterdam En Bicicleta,5,398,Yes,,thoseamsterdames.com,,,Kendra Borgen,,@thoseamsterdames,631,,"Spanish, English",Bike Tours,0,,,Yes,Mar 2026,Partially Enriched,Owner Kendra Borgen; IG 631 followers; bike tours countryside
33,Those Amsterdames,5,395,Yes,,,,,,,,,,English,Private Walking,0,,,Yes,Mar 2026,Not Started,Not yet enriched
34,Guiarte Tours Amsterdam,4.5,312,Yes,,amsterdamphotosafari.com,,,,,@amsterdamphotosafari,289,,"Spanish, English",Private Walking,0,,,Yes,Mar 2026,Partially Enriched,Recommended by Nat Geo 2017 & 2018; IG 289; photo tours day/night/tulip/private
35,Amsterdam Photo Safari,5,240,Yes,,,,,,,,,,"English, Dutch",Photography Tour,0,,,Yes,Mar 2026,Not Started,Not yet enriched
36,Sherpa Food Tours,5,240,Yes,,,,,,,,,,English,Group Food Walking,0,,,Yes,Mar 2026,Not Started,Not yet enriched
37,VoyageOn Travel Amsterdam,4.5,225,Yes,,,,,,,,,,English,Tours,0,,,Yes,Mar 2026,Not Started,Not yet enriched
38,Omy Amsterdam Tours,5,231,Yes,,,,,,,,,,"English, Japanese",Private Tours,0,,,Yes,Mar 2026,Not Started,Not yet enriched
39,Hop On Hop Off Holland,4,210,No,,,,,,,,,,"English, Dutch, Multiple",Hop On Hop Off,0,,,No,Mar 2026,Not Started,Not yet enriched
40,Free Food Tour Amsterdam,5,271,Yes,,,,,,,,,,English,Free Food Walking,0,,,Yes,Mar 2026,Not Started,Not yet enriched
41,Walks In Amsterdam,5,257,Yes,,,,,,,,,,English,Private Walking,0,,,Yes,Mar 2026,Not Started,Not yet enriched
42,Amigo Tours Amsterdam,4.5,284,Yes,,streatbites.com,,,Guy & Inbal,,@streat_bites,7769,,"English, Spanish",Group Walking,0,2017,,Yes,Mar 2026,Fully Enriched,"Owners Guy & Inbal; food bloggers; IG 7,769; ~8 years; website streatbites.com"
43,Streat Bites,5,460,Yes,,,,,,,@blackheritagetours,6857,facebook.com/blackheritagetours,English,Group Food Walking,0,2013,,Yes,Mar 2026,Fully Enriched,"First Black heritage tour in Amsterdam; founded 2013; IG 6,857"
44,Black Heritage Amsterdam Tours,4.5,188,Yes,https://www.tripadvisor.com/Attraction_Review-g188590-d3997527,blackheritagetours.com,,info@blackheritagetours.com,,,,,,"English, Dutch",Group Walking History,15,2016,Own site,Yes,Mar 2026,Partially Enriched,Website not yet visited
45,Amsterbike,4,167,No,,,,,,,,,,"English, Dutch",Bike Rental & Tours,0,,,No,Mar 2026,Not Started,Not yet enriched
46,Bill's Bike Tour,5,162,Yes,,,,bill@,Bill,,,,,English,Bike Tours,0,,,Yes,Mar 2026,Not Started,Solo guide
47,Holland Discovery,4,158,No,,,,,,,,,,"English, Dutch",Day Trips,0,,,No,Mar 2026,Not Started,Not yet enriched
48,Discount Bike Rental,4,150,No,,,,,,,,,,"English, Dutch",Bike Rental,0,,,No,Mar 2026,Not Started,Not yet enriched
49,King Bikes,4,125,No,,,,,,,,,,"English, Dutch",Bike Rental & Tours,0,,,No,Mar 2026,Not Started,Not yet enriched
50,City Unscripted,4.5,135,Yes,,cityunscripted.com,,,,,,,,"English, Multiple",Private Experiences (Platform),0,2015,Own site (platform),Yes,Mar 2026,Not Started,Platform model
51,We Are Amsterdam,5,133,Yes,,,,,,,,,,English,Private Walking,0,,,Yes,Mar 2026,Not Started,Not yet enriched
52,Rude Bastards Tour Amsterdam,5,139,Yes,,,,,,,,,,English,Walking / Adult,0,,,Yes,Mar 2026,Not Started,Not yet enriched
53,LimoBike,4,123,No,,,,,,,,,,"English, Dutch",Bike Tours,0,,,No,Mar 2026,Not Started,Not yet enriched
54,Hard Rock Cafe Amsterdam,4,115,No,,hardrockcafe.com,,,,,,,,"English, Dutch, Multiple",Experiences,0,,,No,Mar 2026,Not Started,Corporate chain
55,Orange Adventures,4.5,89,Yes,,,,,,,,,,"English, Dutch",Bike & Canoe,0,,,Yes,Mar 2026,Not Started,Not yet enriched
56,Strawberry Tours Amsterdam,4.5,95,Yes,,strawberrytours.com,,,,,,,,"English, Multiple",Free Walking,0,2008,Own site,Yes,Mar 2026,Not Started,International free tour brand
57,88Travelguide,4.5,85,Yes,,,,,,,,,,"English, Chinese",Private Tours,0,,,Yes,Mar 2026,Not Started,Chinese-speaking guide
58,AmsterdamViaggi,4.5,81,Yes,,,,,,,,,,"Italian, English",Private Tours,0,,,Yes,Mar 2026,Not Started,Italian-speaking specialist
59,AllTourNative Amsterdam,4.5,71,Yes,,,,,,,,,,English,Alternative / Walking,0,,,Yes,Mar 2026,Not Started,Not yet enriched
60,Amsterdam at 15:15,5,70,Yes,,,,,,,,,,English,Afternoon Walking,0,,,Yes,Mar 2026,Not Started,Not yet enriched
61,Lowlands Tours,4.5,62,Yes,,,,,,,,,,"English, Dutch",Day Trips,0,,,Yes,Mar 2026,Not Started,Not yet enriched
62,Arielle Frioza Photography,5,63,Yes,,,,,Arielle Frioza,,,,,English,Photo Tour / Portrait,0,,,Yes,Mar 2026,Not Started,Solo photographer
63,Hans Langh Tours,4.5,65,Yes,,,,,Hans Langh,,,,,"English, Dutch, German",Private Tours,0,,,Yes,Mar 2026,Not Started,Solo guide
64,Proefzolder Cheese Tasting,4.5,57,Yes,,,,,,,,,,"English, Dutch",Food Experience,0,,,Yes,Mar 2026,Not Started,Not yet enriched
65,Rota Amsterdam,4.5,50,Yes,,,,,,,,,,"English, Spanish, Portuguese",Walking,0,,,Yes,Mar 2026,Not Started,Not yet enriched
